Terça-feira;“Você perde 100% das chances que não tenta.” — Wayne Gretzky
Terça-feira;“A maior glória não é nunca cair, mas levantar sempre.” — Confúcio
Terça-feira;“A imaginação é mais importante que o conhecimento.” — Albert Einstein
Terça-feira;“Seja você mesmo; todos os outros já existem.” — Oscar Wilde
Terça-feira;“O sucesso geralmente vem para quem está ocupado demais para procurar por ele.” — Henry David Thoreau
Quarta-feira;“A simplicidade é o último grau de sofisticação.” — Leonardo da Vinci
Quarta-feira;“Transforme suas feridas em sabedoria.” — Oprah Winfrey
Quarta-feira;“O que você faz hoje pode melhorar todos os seus amanhãs.” — Ralph Marston
Quarta-feira;“Não conte os dias, faça os dias contarem.” — Muhammad Ali
Quarta-feira;“Se você pode sonhar, pode fazer.” — Walt Disney
Quarta-feira;“A melhor vingança é um sucesso enorme.” — Frank Sinatra
Quarta-feira;“Acredite em milagres, mas não dependa deles.” — Immanuel Kant
Quarta-feira;“O impossível é apenas uma opinião.” — Paulo Coelho
Quarta-feira;“Seja fiel às pequenas coisas.” — Madre Teresa
Quarta-feira;“O sucesso é gostar de si mesmo.” — Maya Angelou
Quarta-feira;“A ação cura o medo.” — David Schwartz
Quarta-feira;“O fracasso é sucesso em progresso.” — Albert Einstein
Quarta-feira;“Sonhe grande e ouse falhar.” — Norman Vaughan
Quarta-feira;“Seja a energia que você quer atrair.” — Desconhecido
Quarta-feira;“Nada funcionará a menos que você faça.” — Maya Angelou
Quarta-feira;“A jornada de mil milhas começa com um passo.” — Lao Tsé
Quarta-feira;“A vida é curta demais para esperar.” — Desconhecido
Quarta-feira;“O sucesso nasce do querer.” — Napoleon Hill
Quarta-feira;“A atitude é uma pequena coisa que faz grande diferença.” — Winston Churchill
Quarta-feira;“Nunca pare de aprender.” — Desconhecido
Quinta-feira;“A coragem começa com o primeiro passo.” — Desconhecido
Quinta-feira;“O sucesso não vem até você, você vai até ele.” — Marva Collins
Quinta-feira;“Faça hoje o que outros não querem, amanhã terá o que outros não têm.” — Jerry Rice
Quinta-feira;“A mente é tudo. Você se torna aquilo que pensa.” — Buda
Quinta-feira;“Você é o único responsável pela sua felicidade.” — Desconhecido
Quinta-feira;“O progresso é impossível sem mudança.” — George Bernard Shaw
Quinta-feira;“A determinação hoje leva ao sucesso amanhã.” — Desconhecido
Quinta-feira;“A melhor forma de começar é parar de falar e começar a fazer.” — Walt Disney
Quinta-feira;“O sucesso é construído diariamente.” — Desconhecido
Quinta-feira;“Seja positivo, trabalhe duro, faça acontecer.” — Desconhecido
Quinta-feira;“A vitória pertence ao mais perseverante.” — Napoleon Bonaparte
Quinta-feira;“Não espere. O tempo nunca será perfeito.” — Napoleon Hill
Quinta-feira;“Tudo que você pode imaginar é real.” — Pablo Picasso
Quinta-feira;“A felicidade é uma direção, não um destino.” — Carl Rogers
Quinta-feira;“Seja forte, seja corajoso.” — Josué (Bíblia)
Quinta-feira;“O segredo do sucesso é a constância do propósito.” — Benjamin Disraeli
Quinta-feira;“Nunca é cedo demais para ser grande.” — Desconhecido
Quinta-feira;“Foque no progresso, não na perfeição.” — Desconhecido
Quinta-feira;“O esforço de hoje é o sucesso de amanhã.” — Desconhecido
Quinta-feira;“Grandes coisas nunca vêm da zona de conforto.” — Desconhecido
Sexta-feira;“A alegria está na luta.” — Mahatma Gandhi
Sexta-feira;“Trabalhe duro em silêncio, deixe o sucesso fazer barulho.” — Frank Ocean
Sexta-feira;“A felicidade não é algo pronto. Ela vem de suas ações.” — Dalai Lama
Sexta-feira;“O sucesso é ir de fracasso em fracasso sem perder o entusiasmo.” — Winston Churchill
Sexta-feira;“A vida é feita de escolhas.” — Desconhecido
Sexta-feira;“Acredite no processo.” — Desconhecido
Sexta-feira;“A energia que você coloca retorna para você.” — Desconhecido
Sexta-feira;“Seja luz.” — Desconhecido
Sexta-feira;“Faça valer a pena.” — Desconhecido
Sexta-feira;“Tudo tem seu tempo.” — Eclesiastes
Sexta-feira;“Você consegue.” — Desconhecido
Sexta-feira;“O melhor ainda está por vir.” — Desconhecido
Sexta-feira;“Sorria, você está vivo.” — Desconhecido
Sexta-feira;“A gratidão transforma o que temos em suficiente.” — Melody Beattie
Sexta-feira;“A felicidade é contagiante.” — Desconhecido
Sexta-feira;“Celebre pequenas vitórias.” — Desconhecido
Sexta-feira;“A vida é bela.” — Roberto Benigni
Sexta-feira;“Espalhe o bem.” — Desconhecido
Sexta-feira;“Seja feliz hoje.” — Desconhecido
Sexta-feira;“Viva o presente.” — Desconhecido
Sábado;“A vida é agora.” — Desconhecido
Sábado;“Descanse, mas não desista.” — Desconhecido
Sábado;“A paz começa com um sorriso.” — Madre Teresa
Sábado;“Aproveite as pequenas coisas.” — Robert Brault
Sábado;“A liberdade é o oxigênio da alma.” — Moshe Dayan
Sábado;“A felicidade está nas coisas simples.” — Desconhecido
Sábado;“Siga seu coração.” — Desconhecido
Sábado;“Seja leve.” — Desconhecido
Sábado;“Respire fundo e continue.” — Desconhecido
Sábado;“A vida é feita de momentos.” — Desconhecido
Sábado;“Aprecie o presente.” — Desconhecido
Sábado;“A beleza está em todo lugar.” — Desconhecido
Sábado;“A calma é um superpoder.” — Desconhecido
Sábado;“Seja grato.” — Desconhecido
Sábado;“Desfrute a jornada.” — Desconhecido
Sábado;“A felicidade mora dentro de você.” — Desconhecido
Sábado;“A vida é uma dádiva.” — Desconhecido
Sábado;“Seja gentil.” — Desconhecido
Sábado;“Ame mais.” — Desconhecido
Sábado;“Sinta o momento.” — Desconhecido
Domingo;“Recomece quantas vezes for necessário.” — Desconhecido
Domingo;“Tenha fé.” — Desconhecido
Domingo;“A esperança nunca morre.” — Desconhecido
Domingo;“Prepare-se para uma nova semana.” — Desconhecido
Domingo;“Acredite em novos começos.” — Desconhecido
Domingo;“Deus escreve certo por linhas tortas.” — Provérbio
Domingo;“A paz interior é tudo.” — Desconhecido
Domingo;“Confie no tempo.” — Desconhecido
Domingo;“Recarregue suas energias.” — Desconhecido
Domingo;“Tudo vai dar certo.” — Desconhecido
Domingo;“A vida renasce a cada dia.” — Desconhecido
Domingo;“O amanhã é uma nova chance.” — Desconhecido
Domingo;“Seja esperança.” — Desconhecido
Domingo;“Viva com propósito.” — Desconhecido
Domingo;“Cultive a paz.” — Desconhecido
Domingo;“Seja luz na vida de alguém.” — Desconhecido
Domingo;“Confie em você.” — Desconhecido
Domingo;“Novos ciclos começam.” — Desconhecido
Domingo;“A vida continua.” — Desconhecido
Domingo;“Recomeçar é poder.” — Desconhecido
